"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25355","Verify Application link2","firefox","Fri Mar 21 12:16:52 AEDT 2025","passed","Fri Mar 21 12:17:18 AEDT 2025","","login.spec.js","",""
"","2226","Validate multiple products from BigW API","chromium","Fri Mar 21 03:03:28 AEDT 2025","passed","Fri Mar 21 03:03:30 AEDT 2025","","priceapi.spec.js","",""
"","2244","Validate multiple products from BigW API","firefox","Fri Mar 21 03:03:28 AEDT 2025","passed","Fri Mar 21 03:03:30 AEDT 2025","","priceapi.spec.js","",""
"","31219","TC_05-OrangeHRM Login, Navigate to Time & Buzz, Post Message, Like and comment","webkit","Fri Mar 21 12:17:41 AEDT 2025","broken","Fri Mar 21 12:18:12 AEDT 2025","","myfirstscenarios.spec.js","",""
"","1413","Validate multiple products from BigW API","webkit","Fri Mar 21 03:03:32 AEDT 2025","passed","Fri Mar 21 03:03:33 AEDT 2025","","priceapi.spec.js","",""
"","31425","TC_05-OrangeHRM Login, Navigate to Time & Buzz, Post Message, Like and comment","chromium","Fri Mar 21 12:16:32 AEDT 2025","broken","Fri Mar 21 12:17:04 AEDT 2025","","myfirstscenarios.spec.js","",""
"","18250","Verify Application link2","chromium","Fri Mar 21 12:16:32 AEDT 2025","passed","Fri Mar 21 12:16:50 AEDT 2025","","login.spec.js","",""
"","31199","TC_05-OrangeHRM Login, Navigate to Time & Buzz, Post Message, Like and comment","firefox","Fri Mar 21 12:17:06 AEDT 2025","broken","Fri Mar 21 12:17:37 AEDT 2025","","myfirstscenarios.spec.js","",""
"","25246","Verify Application link2","webkit","Fri Mar 21 12:17:22 AEDT 2025","passed","Fri Mar 21 12:17:47 AEDT 2025","","login.spec.js","",""
